出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1140817,11407,7793,上峰,電子工業,6796,4392,13607,54.735883424408016,-50.05511868891012,52705,74951,-29.680724740163573,-
1140817,11407,7798,將捷,建材營造,138778,74040,49724,87.4365207995678,179.09661330544606,1126779,383316,193.9556397332749,-
1140817,11407,7817,日盛全實業,其他,2778,2716,0,2.2827687776141383,,18466,0,,-
1140817,11407,7830,安能科技,其他,1428,561,1004,154.54545454545453,42.23107569721115,5847,6279,-6.880076445293836,-
1140817,11407,7844,揚堡,其他,17594,13178,6512,33.51039611473668,170.17813267813267,90480,49273,83.62997990786029,-
1140817,11407,7853,政美應用,電機機械,40206,0,4934,,714.8763680583705,225372,119390,88.76957869168272,-
1140817,11407,7854,佐茂,電子工業,150048,0,118602,,26.513886780998636,958380,895128,7.066251977370834,-
1140817,11407,8029,久尹股份,電子工業,75433,89408,90807,-15.630592340730136,-16.930412853634632,572602,541882,5.669130917801293,-
1140817,11407,8115,帝聞,其他,90292,115155,99573,-21.59089922278668,-9.32079981521095,681542,745049,-8.52386889989786,-
1140817,11407,8134,泰山電子,電子工業,62891,62663,61608,0.36385107639276765,2.082521750422023,452069,443756,1.873326783187157,-
1140817,11407,8140,利翔航太,電子工業,614,7953,3321,-92.27964290204955,-81.51159289370672,52961,57563,-7.994718829803867,-
1140817,11407,8152,峻新電腦,電子工業,88538,84459,101132,4.829562272818764,-12.453031681366927,702168,769543,-8.755196265835698,-
1140817,11407,8157,創圓科技,電子工業,13539,13504,15325,0.2591824644549763,-11.65415986949429,90349,104396,-13.455496379171615,-
1140817,11407,8218,輝城電子,電子工業,75813,72028,95539,5.254900871883157,-20.647065596248652,524847,551369,-4.810208771258449,-
1140817,11407,8287,英格爾,電子工業,107340,86147,110513,24.600972755870778,-2.8711554296779562,650278,520335,24.97295011867355,-
1140817,11407,8304,佳聯有線,其他,34378,36809,37572,-6.604363063381238,-8.501011391461727,246642,257059,-4.052377080747999,-
1140817,11407,8305,群健,其他,147846,133532,146970,10.719527903423899,0.5960400081649316,967856,998222,-3.0420086914534044,-
1140817,11407,8307,大台中,其他,29549,29208,31183,1.1674883593536018,-5.240034634255845,206202,220053,-6.29439271448242,-
1140817,11407,8308,中投有線,其他,76027,43045,47137,76.62213962132653,61.28943292954579,399870,402057,-0.5439527231213485,-
1140817,11407,8309,吉元,其他,31115,30167,31677,3.1425067126330095,-1.774157906367396,215360,223050,-3.4476574759022642,-
1140817,11407,8310,長德有線,其他,17601,17670,20303,-0.3904923599320883,-13.308378072206079,132277,143926,-8.093742617734113,-
1140817,11407,8312,東亞有線,其他,7333,9381,7713,-21.831361262125572,-4.926747050434332,54525,57969,-5.941106453449257,-
1140817,11407,8327,洄瀾有線,其他,25165,32136,26389,-21.692183221309435,-4.638296259805222,188434,200829,-6.171917402367188,-
1140817,11407,8343,科學城,其他,155455,162960,130397,-4.6054246440844375,19.216699770700245,1051277,874495,20.215324272866056,-
1140817,11407,8350,榮輪科技,其他,437978,380548,540145,15.091394515277967,-18.914735857964065,2864170,3141647,-8.832214440387478,-
1140817,11407,8360,華視,其他,136548,124620,119100,9.571497351949928,14.649874055415617,851154,826859,2.938227678479644,-
1140817,11407,8368,屏南有線,其他,35552,35172,35939,1.0804048675082452,-1.0768246194941429,248752,254610,-2.300773732375005,-
1140817,11407,8370,欣隆天然,其他,55564,52439,47906,5.9593050973512085,15.985471548449047,451805,413159,9.353783894336079,-
1140817,11407,8376,遠鼎投資,其他,1756562,1787812,2178377,-1.7479466521088347,-19.363728133376362,12386942,13213074,-6.252383056357665,-
1140817,11407,8379,欣湖公司,其他,99111,112864,75020,-12.185462149135242,32.1127699280192,772061,654308,17.99657042249216,-
1140817,11407,8387,緯來電視,其他,165179,166996,171208,-1.0880500131739683,-3.5214475959067335,1136982,1171314,-2.9310671604710605,-
1140817,11407,8391,森霸電力,其他,3331914,3656274,2700467,-8.871326383088357,23.382881553449828,21876137,12243237,78.67935579455009,-
1140817,11407,8392,星能電力,其他,693351,916992,794241,-24.388544283919597,-12.702693514940679,5070576,5013379,1.1408872139927981,-
1140817,11407,8394,臺灣菸酒,其他,4185849,3891730,3755877,7.5575386781714045,11.447978727737889,27923967,23038553,21.205385598652832,-
1140817,11407,8399,聯美林業,其他,120553,126134,128280,-4.424659489114751,-6.023542251325226,833732,869147,-4.074684719615899,-
1140817,11407,8452,北都數位,其他,46853,47300,46125,-0.945031712473573,1.578319783197832,332559,320042,3.9110491747958083,-
1140817,11407,8453,全國數位,其他,25600,28542,28881,-10.307616845350712,-11.360409958103943,186321,216989,-14.13343533543175,-
1140817,11407,8456,天外天,其他,30516,30512,31244,0.013109596224436287,-2.330047369094866,215353,222176,-3.070988765663258,-
1140817,11407,8459,數位天空,其他,16080,15756,17228,2.0563594821020565,-6.663570931042489,134786,115840,16.35531767955801,-
1140817,11407,8469,新高雄,其他,21869,23967,33798,-8.753703008303084,-35.29498786910468,157270,234473,-32.92617913363159,-
1140817,11407,8943,寶福有線,其他,6475,9652,6594,-32.91545793617903,-1.8046709129511678,39919,48327,-17.39814182548058,-
1140817,11407,8945,大新店,其他,35610,35387,36475,0.63017492299432,-2.371487320082248,250239,261492,-4.303382130237254,-
