stock_id,ymonth,max,min,trading_volume,trading_money,trading_turnover,date,close,open,spread
06408P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06409P,2015M01,0.65,0.0,9744000,3554040,348,2016-01-01,0.0,0.26,-0.28
06410P,2015M01,0.55,0.0,234000,88880,24,2016-01-01,0.0,0.46,0.0
06411P,2015M01,5.1,0.0,10000,51000,2,2016-01-01,0.0,5.1,0.0
06412P,2015M01,3.11,0.0,1540000,2775520,66,2016-01-01,0.0,1.04,-1.02
06413P,2015M01,0.28,0.0,2660000,309320,30,2016-01-01,0.06,0.04,0.06
06414P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06415P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06416P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06417P,2015M01,2.99,0.0,2000,5980,2,2016-01-01,2.99,0.0,2.99
06418P,2015M01,4.78,0.0,270000,1255660,18,2016-01-01,0.0,0.0,0.0
06419P,2015M01,1.12,0.0,11242000,7766220,196,2016-01-01,0.0,0.52,-0.52
06420P,2015M01,2.04,0.0,8000,16320,2,2016-01-01,2.04,0.0,2.04
06421P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,-0.03
06422P,2015M01,2.59,0.0,254000,597420,34,2016-01-01,1.57,2.1,1.57
06423P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,-0.31
06424P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06425P,2015M01,2.62,2.39,158000,401640,8,2016-01-01,2.58,2.39,0.1
06426P,2015M01,1.87,1.42,368000,628580,30,2016-01-01,1.76,1.42,0.07
06427P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06428P,2015M01,0.37,0.0,6000,2220,2,2016-01-01,0.37,0.0,0.17
06429P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06430P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06431P,2015M01,2.31,1.68,140000,278200,10,2016-01-01,2.31,1.68,0.65
06432P,2015M01,0.98,0.0,2832000,1818680,194,2016-01-01,0.79,0.0,0.79
06433P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06434P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06435P,2015M01,2.67,0.0,338000,864320,14,2016-01-01,0.0,0.0,0.0
06436P,2015M01,3.01,0.0,852000,2359480,76,2016-01-01,2.13,2.28,2.13
06437P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,-0.13
06438P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06439P,2015M01,0.58,0.29,1932000,683820,110,2016-01-01,0.34,0.29,0.09
06440P,2015M01,2.32,0.0,206000,400920,6,2016-01-01,0.0,0.0,0.0
06441P,2015M01,0.03,0.0,260000,7400,10,2016-01-01,0.0,0.0,-0.05
06442P,2015M01,1.13,0.0,280000,247520,26,2016-01-01,0.0,0.87,0.0
